InstitutionName,UnitID,ParentID,OPEID,InstitutionType,Address,City,State,HasHistory
Northwest Hair Academy_ Mount Vernon,231280,0,2331400,Institution,615 South First Street,Mount Vernon,WA,FALSE
Northwest HVAC/R Association and Training Center,166133,0,3283300,Institution,204 East Nora Avenue,Spokane,WA,TRUE
Northwest Indian College,157094,0,2180000,Institution,2522 Kwina Rd,Bellingham,WA,FALSE
Northwest Institute of Literary Arts,216311,0,4188900,Institution,5611 Bayview Road,Freeland,WA,TRUE
Northwest Laborers-Employers Training Trust,246530,0,,Institution,27055 Ohio Avenue,Kingston,WA,FALSE
Northwest Regional Training Center,211158,0,,Institution,11606 NE 66 Street,Vancouver,WA,FALSE
Northwest School of Wooden Boatbuilding,148876,0,4155000,Institution,42 N. Water Street,Port Hadlock,WA,FALSE
Northwest University,148885,0,378300,Institution,5520 108th Ave NE,Kirkland,WA,FALSE
Olympic College,148894,0,378400,Institution,1600 Chester Avenue,Bremerton,WA,FALSE
Pacific Lutheran University,148919,0,378500,Institution,1010 122nd St So,Tacoma,WA,FALSE
Pacific Northwest Ballet School,157997,0,,Institution,4649 Sunnyside Avenue N.,Seattle,WA,FALSE
Pacific Northwest University of Health Sciences,192059,0,4130500,Institution,111 S. 33rd Street Suite 104,Yakima,WA,FALSE
Park University,126003,0,249800,Institution,8700 NW River Park Dr,Parkville,MO,FALSE
Paroba College of Cosmetology,148627,0,2184200,Institution,9930 Evergreen Way_ Building Y,Everett,WA,TRUE
Paul Mitchell The School Richland,148520,0,3065000,Institution,71 Gage Boulevard,Richland,WA,TRUE
Paul Mitchell the School Spokane,218487,0,4191900,Institution,15303 East Sprague Avenue_ Suite C,Spokane Valley,WA,TRUE
Peace Health St. Joseph Hospital,231040,0,,Site,2901 Squalicum Pkwy,Bellingham,WA,FALSE
Peninsula College,148928,0,378600,Institution,1502 E Lauridsen Blvd,Port Angeles,WA,FALSE
Perry Technical Institute,148900,0,938700,Institution,2011 W Washington Ave.,Yakima,WA,FALSE
Phagans Orchards Beauty School,148937,0,2345100,Institution,10411 NE 4th Plain Blvd Ste 109,Vancouver,WA,FALSE
Photographic Center Northwest,179663,0,4168300,Institution,900 Twelfth Avenue,Seattle,WA,FALSE
Pierce College,168050,0,500003,Institution,1601 39th Ave SE,Puyallup,WA,TRUE
Pima Medical Institute,101453,0,2217100,Institution,3350 East Grant Road_ Suite 200,Tucson,AZ,TRUE
Pinchot University,211671,0,4161200,Institution,220 Second Avenue South_ 4th Floor,Seattle,WA,TRUE
Professional Beauty School,148654,0,2236801,Institution,214 S Sixth St,Sunnyside,WA,FALSE
Professional Beauty School,160940,0,2236800,Institution,2105 W Lincoln Ave_ Suite B,Yakima,WA,FALSE
Providence St Peter Hospital,206376,0,,Site,413 Lilly Rd NE,Olympia,WA,FALSE
Puget Sound Christian College,148946,0,499800,Institution,2610 Wetmore Ave,Everett,WA,FALSE
Renton Technical College,148964,0,1043400,Institution,3000 NE Fourth Street,Renton,WA,FALSE
Saint Martin's University,148973,0,379400,Institution,5300 Pacific Ave SE,Lacey,WA,FALSE
Sakie International College of Cosmetology,191126,0,,Institution,2106 West Nob Hill Boulevard #104,Yakima,WA,FALSE
Sanford-Brown College,240851,0,3031406,Institution,645 Andover Park West,Seattle,WA,TRUE
Saybrook University,106494,0,2120600,Institution,475 14th Street_ 9th Floor,Oakland,CA,TRUE
School of Piano Technology for the Blind,158352,0,3490400,Institution,2510 E Evergreen Blvd,Vancouver,WA,FALSE
Sea Mar Community Health Center,193007,0,,Site,8915 14th Avenue South,Seattle,WA,FALSE
Seattle Central Community College,148991,0,378700,Institution,1701 Broadway Avenue,Seattle,WA,FALSE
Seattle Film Institute,237808,0,4258000,Institution,3210 16th Avenue W.,Seattle,WA,FALSE
Seattle Institute of East Asian Medicine,168607,0,3280300,Institution,226 S. Orcas Street,Seattle,WA,TRUE
Seattle Midwifery School,149019,0,3361600,Institution,4000 NE 41st St_ Building D_ Suite 3,Seattle,WA,FALSE
Seattle Pacific Seminary,238935,0,,Institution,3307 3rd Avenue,West Seattle,WA,TRUE
Seattle Pacific University,149028,0,378800,Institution,3307 3rd Ave W,Seattle,WA,FALSE
